label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,seconds
qwen,0,25,81,0.7160493827160493,200,116,182,0.64,0.7053973013493253,0.7091454272863569,0.13713755597645239,0.8505167650112019,-0.13446738229515254,0.1191498952608464,0.8685044257268079,-0.15245504301075852,0.13032841428005304,0.8573259067076012,-0.14127652399155188,0.11734042001437217,0.8703139009732821,-0.15426451825723275,-0.01798766071560598,-0.006809141696399346,-0.011178519019206634,-0.0018094752464742347,20.042969942092896
qwen,0,50,81,0.7160493827160493,400,234,369,0.64,0.7683658170914542,0.7646176911544229,0.14947852191761324,0.838175799070041,-0.12212641635399168,0.11553725985363572,0.8721170611340185,-0.1560676784179692,0.13503117848425705,0.8526231425033972,-0.13657375978734787,0.12010660482363678,0.8675477161640175,-0.15149833344796815,-0.03394126206397752,-0.014447343433356186,-0.019493918630621332,0.004569344970001055,27.083608865737915
qwen,0,100,81,0.7160493827160493,800,455,734,0.61,0.7638680659670165,0.823088455772114,0.14284847746591112,0.8448058435217431,-0.1287564608056938,0.10939310724308426,0.87826121374457,-0.16221183102852066,0.10770014645463832,0.8799541745330159,-0.1639047918169666,0.11027687905800798,0.8773774419296463,-0.16132805921359694,-0.03345537022282685,-0.03514833101127279,0.0016929607884459408,0.0008837718149237173,41.598915338516235
qwen,0,200,81,0.7160493827160493,1600,846,1466,0.575,0.8065967016491754,0.8785607196401799,0.14276974402446885,0.8448845769631854,-0.12883519424713608,0.09604215909558156,0.8916121618920727,-0.17556277917602336,0.10276991456756435,0.8848844064200899,-0.16883502370404058,0.09635877009326244,0.8912955508943918,-0.1752461681783425,-0.04672758492888729,-0.0399998294569045,-0.006727755471982788,0.0003166109976808773,71.31769299507141
qwen,0,400,81,0.7160493827160493,3200,1766,2926,0.61,0.8133433283358321,0.8748125937031485,0.14104783598094905,0.8466064850067052,-0.13055710229065587,0.092462106594414,0.8951922143932403,-0.17914283167719092,0.10678947028790298,0.8808648506997513,-0.16481546798370195,0.10369726437289184,0.8839570566147624,-0.16790767389871308,-0.04858572938653505,-0.03425836569304608,-0.01432736369348897,0.011235157778477833,139.62475752830505
qwen,1,25,79,0.6835443037974683,200,110,178,0.68,0.6266666666666666,0.6666666666666667,0.2054955158662678,0.781846256285631,-0.09830195248816265,0.20232387474519675,0.785017897406702,-0.10147359360923369,0.19461734868135017,0.7927244234705486,-0.10918011967308028,0.19824619115192432,0.7890955809999745,-0.10555127720250612,-0.003171641121071045,-0.010878167184917631,0.007706526063846586,-0.00407768359327243,18.85267686843872
qwen,1,50,79,0.6835443037974683,400,228,370,0.68,0.7874074074074073,0.797037037037037,0.17125412624222913,0.8160876459096696,-0.1325433421122013,0.12639994005611077,0.860941832095788,-0.17739752829831967,0.14457756618799156,0.8427642059639072,-0.1592199021664389,0.14253282450463878,0.84480894764726,-0.16126464384979167,-0.04485418618611836,-0.026676560054237575,-0.018177626131880786,0.016132884448528007,25.856834650039673
qwen,1,100,79,0.6835443037974683,800,460,711,0.68,0.82,0.8281481481481482,0.17011837391611806,0.8172233982357807,-0.13367909443831238,0.11134612430643087,0.8759956478454679,-0.19245134404799957,0.1277979844458882,0.8595437877060106,-0.17599948390854225,0.11822662382525473,0.869115148326644,-0.18557084452917572,-0.05877224960968719,-0.04232038947022987,-0.01645186013945732,0.006880499518823857,40.128275871276855
qwen,1,200,79,0.6835443037974683,1600,873,1453,0.62,0.8503703703703704,0.894074074074074,0.17607805842491908,0.8112637137269797,-0.12771940992951136,0.09900693222787871,0.8883348399240201,-0.20479053612655174,0.09237356477506853,0.8949682073768302,-0.21142390357936192,0.09612735878424927,0.8912144133676495,-0.20767010957018117,-0.07707112619704037,-0.08370449364985055,0.006633367452810179,-0.002879573443629435,69.51792097091675
qwen,1,400,79,0.6835443037974683,3200,1784,2953,0.625,0.854074074074074,0.9044444444444445,0.178550646174508,0.8087911259773908,-0.12524682217992245,0.10461320638315241,0.8827285657687464,-0.19918426197127803,0.09701292896738356,0.8903288431845152,-0.20678453938704688,0.09691146966433473,0.890430302487564,-0.20688599869009572,-0.07393743979135559,-0.08153771720712444,0.007600277415768852,-0.007701736718817687,140.6398742198944
qwen,2,25,73,0.684931506849315,200,98,192,0.52,0.691304347826087,0.6660869565217391,0.22537299871230831,0.7609283711507053,-0.0759968643013903,0.2054929565707655,0.7808084132922481,-0.09587690644293312,0.23210088075222435,0.7542004891107893,-0.06926898226147427,0.2052526297262569,0.7810487401367567,-0.0961172332874417,-0.01988004214154282,0.006727882039916033,-0.026607924181458853,-0.0002403268445085871,18.162139654159546
qwen,2,50,73,0.684931506849315,400,244,386,0.64,0.8182608695652174,0.7660869565217391,0.21961658510955462,0.766684784753459,-0.081753277904144,0.16248188080475368,0.82381948905826,-0.13888798220894494,0.1807678595662049,0.8055335102968088,-0.12060200344749372,0.15732132875958493,0.8289800411034287,-0.14404853425411368,-0.05713470430480094,-0.03884872554334973,-0.018285978761451216,-0.0051605520451687426,26.087810039520264
qwen,2,100,73,0.684931506849315,800,470,764,0.63,0.8739130434782608,0.8469565217391304,0.2335114610182204,0.7527899088447932,-0.06785840199547821,0.15589378234270124,0.8304075875203124,-0.14547608067099738,0.14602742771550226,0.8402739421475114,-0.15534243529819636,0.1491560730335343,0.8371452968294794,-0.15221378998016433,-0.07761767867551916,-0.08748403330271814,0.009866354627198981,-0.00673770930916695,39.33385181427002
qwen,2,200,73,0.684931506849315,1600,879,1498,0.6,0.8582608695652174,0.8773913043478261,0.22309523620260374,0.7632061336604099,-0.07827462681109487,0.10873455591156111,0.8775668139514525,-0.1926353071021375,0.10809918850426214,0.8782021813587515,-0.19327067450943647,0.10146884275156098,0.8848325271114527,-0.19990102026213763,-0.11436068029104263,-0.1149960476983416,0.0006353674072989701,-0.007265713160000131,74.49572253227234
qwen,2,400,73,0.684931506849315,3200,1790,2950,0.615,0.8269565217391304,0.8695652173913043,0.20758455337672266,0.778716816486291,-0.09378530963697596,0.1076398206569058,0.8786615492061078,-0.1937300423567928,0.0974906173142901,0.8888107525487235,-0.20387924569940852,0.09604095941574053,0.8902604104472731,-0.20532890359795808,-0.09994473271981685,-0.11009393606243256,0.010149203342615709,-0.01159886124116527,163.30012941360474
qwen,3,25,74,0.7297297297297297,200,100,176,0.56,0.5972222222222222,0.5638888888888889,0.23325855053556954,0.753227935950917,-0.023498206221187257,0.22955502657807836,0.7569314599084082,-0.02720173017867844,0.28876917155164494,0.6977173149348416,0.032012414794888144,0.29689354319135663,0.6895929432951299,0.040136786434599836,-0.003703523957491184,0.0555106210160754,-0.059214144973566585,0.06733851661327828,20.29677414894104
qwen,3,50,74,0.7297297297297297,400,210,364,0.6,0.662962962962963,0.5824074074074075,0.26179229213062505,0.7246941943558615,0.0050355353738682496,0.20930802527870607,0.7771784612077804,-0.04744873147805073,0.285604170536198,0.7008823159502885,0.028847413779441222,0.24556651628040638,0.7409199702060801,-0.011190240476350422,-0.05248426685191898,0.023811878405572973,-0.07629614525749195,0.03625849100170031,28.211557626724243
