label,replicate,budget,n_eval,eval_base_accuracy,n_train_traces,n_correct_traces,n_probe_traces,n_token_probe_rows,train_base_accuracy,auroc_rmd_tail_q20,auroc_probe_hidden_tail_q20,auroc_probe_token_tail_q20,aurc_B0,auacc_B0,excess_aurc_B0,aurc_B0_rmd,auacc_B0_rmd,excess_aurc_B0_rmd,aurc_B0_probe,auacc_B0_probe,excess_aurc_B0_probe,aurc_B0_token_probe,auacc_B0_token_probe,excess_aurc_B0_token_probe,aurc_B0_both,auacc_B0_both,excess_aurc_B0_both,delta_aurc_B0_rmd_minus_B0,delta_aurc_B0_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_probe,delta_aurc_B0_both_minus_B0_rmd,delta_aurc_B0_token_probe_minus_B0,delta_aurc_B0_rmd_minus_B0_token_probe,seconds
qwen,0,25,316,0.6835443037974683,200,116,182,18152,0.64,0.7164351851851851,0.678425925925926,0.59,0.2035440181446485,0.7932914248933262,-0.10974712109585782,0.15816018897973017,0.8386752540582445,-0.15513095026077617,0.18916584348475673,0.8076695995532179,-0.1241252957557496,0.19600075525674154,0.8008346877812331,-0.11729038398376479,0.15681580909299175,0.8400196339449829,-0.15647533014751458,-0.04538382916491834,-0.014378174659891774,-0.03100565450502657,-0.0013443798867384116,-0.007543262887906965,-0.03784056627701138,26.80522060394287
qwen,0,50,316,0.6835443037974683,400,234,369,39548,0.64,0.777962962962963,0.7699537037037038,0.77,0.21920431521390715,0.7776311278240675,-0.09408682402659918,0.15188856407167306,0.8449468789663016,-0.16140257516883327,0.16854172099656983,0.8282937220414048,-0.1447494182439365,0.19027335266369005,0.8065620903742846,-0.12301778657681628,0.14782800278587283,0.8490074402521018,-0.1654631364546335,-0.06731575114223409,-0.05066259421733732,-0.016653156924896773,-0.004060561285800235,-0.0289309625502171,-0.038384788592016994,36.290212631225586
qwen,0,100,316,0.6835443037974683,800,455,734,78577,0.61,0.8004629629629629,0.7759259259259259,0.8123611111111111,0.21395850390976223,0.7828769391282124,-0.0993326353307441,0.1485775338867421,0.8482579091512326,-0.16471360535376423,0.14907935767306912,0.8477560853649055,-0.1642117815674372,0.1813733063188685,0.8154621367191062,-0.13191783292163783,0.14905537640892308,0.8477800666290516,-0.16423576283158325,-0.06538097002302012,-0.06487914623669311,-0.0005018237863270159,0.00047784252218097123,-0.03258519759089373,-0.03279577243212639,52.78752875328064
qwen,1,25,319,0.6802507836990596,200,110,178,21103,0.68,0.65162193909822,0.6758832565284179,0.6784133008041926,0.22486288970433477,0.7720023140574207,-0.09175153035836114,0.20818749309004547,0.78867771067171,-0.10842692697265044,0.20938238058088143,0.787482823180874,-0.10723203948181448,0.19706778883480613,0.7997974149269493,-0.11954663122788978,0.2104568139594294,0.7864083898023261,-0.10615760610326652,-0.016675396614289295,-0.015480509123453334,-0.0011948874908359608,0.0022693208693839173,-0.027795100869528633,0.011119704255239338,26.800130367279053
qwen,1,50,319,0.6802507836990596,400,228,370,40972,0.68,0.8048251558687991,0.7644348061805367,0.7615885063702901,0.22538666292087328,0.7714785408408822,-0.09122775714182263,0.15674274653176856,0.8401224572299869,-0.15987167353092735,0.17040523671938224,0.8264599670423732,-0.14620918334331368,0.18884810137070118,0.8080171023910543,-0.12776631869199473,0.16642628684972793,0.8304389169120275,-0.15018813321296798,-0.06864391638910472,-0.054981426201491046,-0.013662490187613674,0.009683540317959372,-0.0365385615501721,-0.03210535483893262,36.15869331359863
qwen,1,100,319,0.6802507836990596,800,460,711,75176,0.68,0.8105177554892925,0.7867985904039035,0.7922652932140598,0.21078043405795033,0.7860847697038051,-0.10583398600474558,0.1380512150143861,0.8588139887473694,-0.1785632050483098,0.1511544092024696,0.8457107945592859,-0.16546001086022633,0.1529465080173964,0.8439186957443591,-0.1636679120452995,0.14624636628941334,0.8506188374723421,-0.17036805377328257,-0.07272921904356422,-0.05962602485548074,-0.013103194188083478,0.008195151275027235,-0.05783392604055393,-0.01489529300301029,55.09545636177063
qwen,2,25,303,0.693069306930693,200,98,192,21683,0.52,0.7466973886328725,0.717716333845366,0.7026625704045059,0.21588567329374364,0.780813996673253,-0.08774468974256,0.1831321817951892,0.8135674881718075,-0.12049818124111444,0.224773657243162,0.7719260127238347,-0.07885670579314163,0.23202586848356754,0.7646738014834291,-0.0716044945527361,0.18299958492617618,0.8137000850408205,-0.12063077811012746,-0.03275349149855444,0.008887983949418365,-0.04164147544797281,-0.00013259686901301304,0.016140195189823903,-0.048893686688378346,29.213305950164795
qwen,2,50,303,0.693069306930693,400,244,386,40335,0.64,0.8493087557603687,0.8227342549923193,0.8138760880696364,0.20870432446249676,0.7879953455044999,-0.09492603857380688,0.14971086576261827,0.8469888042043784,-0.15391949727368537,0.16689405097595655,0.8298056189910401,-0.1367363120603471,0.19190389081917003,0.8047957791478266,-0.11172647221713361,0.14546458292621,0.8512350870407867,-0.15816578011009363,-0.05899345869987849,-0.041810273486540206,-0.01718318521333828,-0.004246282836408266,-0.01680043364332673,-0.04219302505655176,40.65843987464905
qwen,2,100,303,0.693069306930693,800,470,764,77736,0.63,0.8701996927803379,0.8469534050179212,0.8436763952892985,0.21923676196994546,0.7774629079970512,-0.08439360106635818,0.15413383855609164,0.842565831410905,-0.149496524480212,0.136938282401324,0.8597613875656727,-0.16669208063497964,0.14355989440613204,0.8531397755608646,-0.1600704686301716,0.14129415510978316,0.8554055148572135,-0.16233620792652048,-0.06510292341385382,-0.08229847956862146,0.017195556154767644,-0.01283968344630848,-0.07567686756381342,0.010573944149959602,56.97058176994324
qwen,3,25,312,0.6987179487179487,200,100,176,17761,0.56,0.7719597891860238,0.7061292211594768,0.6969549092328714,0.24796711914396985,0.748827752650902,-0.05010980393295328,0.18820242377293517,0.8085924480219366,-0.10987449930398796,0.21916258717566706,0.7776322846192047,-0.07891433590125607,0.2222271176594668,0.774567754135405,-0.07584980541745634,0.21874317013720623,0.7780517016576656,-0.0793337529397169,-0.05976469537103468,-0.028804531968302793,-0.03096016340273189,0.030540746364271065,-0.02574000148450306,-0.03402469388653162,26.892000913619995
